E N X Y Z date
-23.0 6122.0    1966-07-19
-50.0 6118.0    1966-07-20
-23.0 6061.0    1966-07-21
8.0 6013.0    1966-07-22
63.0 5977.0    1966-07-23
68.0 6002.0    1966-07-24
48.0 6043.0    1966-07-25
82.0 6032.0    1966-07-26
133.0 5982.0    1966-07-27
93.0 6129.0    1966-07-28
54.0 6186.0    1966-07-29
77.0 6130.0    1966-07-30
55.0 6111.0    1966-07-31
  5132.278019902355 -3471.3309157190947 54628.0 1970-07-04
  5079.775117985024 -3429.3622950484887 54613.0 1970-07-05
  5130.895646532702 -3423.1759908587474 54615.0 1970-07-06
  5066.971154353239 -3448.252357492445 54615.0 1970-07-07
  5087.9490293575 -3440.485238256382 54597.0 1970-07-09
  5091.553380434033 -3499.1096259178244 54505.0 1970-07-10
  5044.28041975235 -3388.976843665807 54644.0 1970-07-11
  5074.90142023304 -3415.1229223728783 54622.0 1970-07-12
  5052.787382087573 -3424.639495102603 54614.0 1970-07-13
  5062.171275503436 -3417.906665997173 54637.0 1970-07-14
  5084.292562500418 -3424.4516552147343 54630.0 1970-07-15
  5069.928959318849 -3422.5004525142285 54628.0 1970-07-16
  5035.931844358132 -3419.2045067500276 54616.0 1970-07-17
  5088.507370522158 -3450.361827423562 54611.0 1970-07-18
  5087.403073518472 -3451.989856235791 54616.0 1970-07-19
  5087.469789674627 -3474.9923941136913 54622.0 1970-07-20
  5079.803337347167 -3477.345834667093 54558.0 1970-07-21
  5082.599697913934 -3460.8353486933165 54597.0 1970-07-22
  5167.481294771787 -3540.456618599315 54528.0 1970-07-23
  5115.776435035358 -3520.3595649786857 54539.0 1970-07-24
  5164.794648073552 -3466.020231220643 54655.0 1970-07-25
  5111.722311772767 -3453.5280521988634 54613.0 1970-07-26
  5056.925105398366 -3447.0144296755884 54590.0 1970-07-27
  5088.385711556054 -3464.7751514971633 54599.0 1970-07-28
  5109.925625047048 -3425.7501523735696 54563.0 1970-07-29
  5103.156797904827 -3499.8763829595114 54586.0 1970-07-30
  5100.549555797173 -3480.6636190326217 54588.0 1970-07-31
  5094.031114881656 -3465.3669359272108 54618.0 1970-08-01
  5081.650443085222 -3437.303270631175 54635.0 1970-08-02
  5059.783893082971 -3421.4398950293034 54603.0 1970-08-03
  5054.382800711282 -3416.930713941092 54606.0 1970-08-04
  5098.729283250511 -3463.792097705018 54618.0 1970-08-05
  5086.589962169332 -3469.1860078061823 54614.0 1970-08-06
  5034.873916135641 -3411.8570674365833 54640.0 1970-08-07
  5056.790375880516 -3395.4605128615744 54645.0 1970-08-08
  5071.580674214205 -3441.4692305666467 54641.0 1970-08-09
  5071.49844312006 -3436.2449769233285 54617.0 1970-08-10
  5084.8984051872285 -3464.5659481274683 54658.0 1970-08-12
  5103.282407793289 -3444.5838161246024 54623.0 1970-08-20
  5114.9509647870655 -3473.725036300926 54600.0 1970-08-21
  5094.749912079762 -3457.191393799779 54589.0 1970-08-22
  5110.508799618823 -3462.4599360885863 54565.0 1970-08-23
  5119.261677520436 -3517.0557113970553 54564.0 1970-08-24
  5123.086741143641 -3486.6590373476765 54551.0 1970-08-25
  5097.722897891253 -3436.73176961997 54583.0 1970-08-26
  5102.400241953271 -3493.9043734646207 54571.0 1970-08-27
  5077.1797280912815 -3461.6861510915373 54614.0 1970-08-28
  5106.700532931384 -3453.814509633995 54588.0 1970-08-29
  5109.098649298835 -3484.1020352068936 54591.0 1970-08-30
  5083.001740557603 -3469.122267301685 54590.0 1970-08-31
  5064.018005350971 -3429.4573392128923 54611.0 1970-09-01
  5058.359324283344 -3416.404095893188 54624.0 1970-09-02
  5079.2495427704525 -3422.9883263409106 54648.0 1970-09-03
  5055.69974380663 -3427.471969319892 54646.0 1970-09-04
  5043.004229514891 -3439.0295638588095 54643.0 1970-09-05
  5064.037414737626 -3450.7838330062727 54630.0 1970-09-06
  5074.311185596202 -3453.463477689211 54621.0 1970-09-07
  5048.328503912235 -3432.9876662445577 54625.0 1970-09-08
  5053.142993542858 -3447.2358327809143 54635.0 1970-09-09
  5074.890231910783 -3450.8344112774407 54644.0 1970-09-10
  5068.658378248859 -3459.981393679401 54634.0 1970-09-11
  5077.7838289684205 -3460.7999633418303 54635.0 1970-09-12
  5061.509917148815 -3461.5807600869575 54600.0 1970-09-13
  5054.261786096486 -3463.3173111346237 54611.0 1970-09-14
  5093.442194758849 -3459.11775004121 54628.0 1970-09-15
  5095.983658556954 -3450.024137846065 54626.0 1970-09-16
  5093.967521749701 -3460.1241144443375 54641.0 1970-09-17
  5092.720305992765 -3467.293019767576 54618.0 1970-09-18
  5078.4447072527655 -3456.2766607111143 54616.0 1970-09-19
  5088.579153892524 -3455.5988185219703 54629.0 1970-09-22
  5086.651355833995 -3449.5353287351886 54613.0 1970-09-23
  5092.614934373148 -3458.5559313389135 54637.0 1970-09-24
  5093.464213219907 -3460.864965387715 54630.0 1970-09-25
  5085.393926389675 -3454.9490030156753 54650.0 1970-09-26
  5080.257968024093 -3471.3668746370945 54658.0 1970-09-27
  5090.46388742809 -3451.04004769439 54645.0 1970-09-28
  5086.2660714088515 -3459.002522525124 54639.0 1970-09-29
  5071.4409436851165 -3432.763136995359 54627.0 1970-09-30
  5064.1654186644655 -3445.2653907069275 54646.0 1970-10-01
  5070.542074612115 -3434.090719475574 54645.0 1970-10-02
  5067.973995917103 -3446.7782894622082 54650.0 1970-10-03
  5077.065878593485 -3438.724482191292 54673.0 1970-10-04
  5076.719722858074 -3442.800147488065 54651.0 1970-10-05
  5076.144651403167 -3445.4289251167293 54647.0 1970-10-06
  5081.811241089248 -3447.7638419617656 54645.0 1970-10-07
