D H X Y Z date
     1902-01-01
     1902-01-02
     1902-01-03
     1902-01-04
     1902-01-05
     1902-01-06
     1902-01-07
     1902-01-08
     1902-01-09
     1902-01-10
     1902-01-11
     1902-01-12
     1902-01-13
     1902-01-14
     1902-01-15
     1902-01-16
     1902-01-17
     1902-01-18
     1902-01-19
     1902-01-20
     1902-01-21
     1902-01-22
     1902-01-23
     1902-01-24
     1902-01-25
     1902-01-26
     1902-01-27
     1902-01-28
     1902-01-29
     1902-01-30
     1902-01-31
     1902-02-01
     1902-02-02
     1902-02-03
     1902-02-04
     1902-02-05
     1902-02-06
     1902-02-07
     1902-02-08
     1902-02-09
     1902-02-10
     1902-02-11
     1902-02-12
     1902-02-13
     1902-02-14
     1902-02-15
     1902-02-16
     1902-02-17
     1902-02-18
     1902-02-19
     1902-02-20
     1902-02-21
     1902-02-22
     1902-02-23
     1902-02-24
     1902-02-25
     1902-02-26
     1902-02-27
     1902-02-28
     1902-03-01
  13440.439890320327 7889.664159816065 55797.0 1918-06-23
  13445.26662867997 7889.342576140596 55797.0 1918-06-24
  13453.543954272136 7891.043281497548 55802.0 1918-06-25
  13444.633615715555 7888.445406996952 55779.0 1918-06-26
  13442.264467919975 7878.647534602377 55806.0 1918-06-27
  13452.103579335439 7887.569035566705 55801.0 1918-06-28
  13451.936887367803 7893.782552000875 55801.0 1918-06-29
  13447.102197988139 7886.213506928568 55801.0 1918-06-30
  13445.32196124739 7887.272111344875 55781.0 1918-07-01
  13451.64467640495 7888.351633880575 55790.0 1918-07-02
  13444.973082319362 7883.913673785868 55795.0 1918-07-03
  13437.5042706289 7884.787820660112 55787.0 1918-07-04
  13443.312192306337 7888.721461693764 55798.0 1918-07-05
  13438.017648496867 7881.9364802494265 55792.0 1918-07-06
  13441.357803445979 7888.100240218929 55802.0 1918-07-07
  13443.356391894185 7878.762143923226 55806.0 1918-07-08
  13434.62150545629 7877.843677373355 55797.0 1918-07-09
  13440.080674104895 7878.418145386301 55800.0 1918-07-10
  13435.92689044829 7869.682941169135 55812.0 1918-07-11
  13438.00433989446 7874.050060863066 55799.0 1918-07-12
  13434.228821740722 7884.441956480555 55774.0 1918-07-13
  13438.47617823191 7881.154674734758 55786.0 1918-07-14
  13435.484136861547 7878.349510407731 55791.0 1918-07-15
  13436.063250921792 7881.315456015507 55798.0 1918-07-16
  13436.183074743978 7885.063435506621 55791.0 1918-07-17
  13438.759628027732 7878.694286497726 55804.0 1918-07-18
  13432.678327342279 7885.108049617903 55793.0 1918-07-19
  13434.971443956207 7881.200308333831 55789.0 1918-07-20
  13441.587253294045 7887.709243632342 55787.0 1918-07-21
  13446.413944830187 7887.386957939638 55782.0 1918-07-22
  13444.688829178787 7886.375040952283 55785.0 1918-07-23
  13445.60635956932 7884.810626990928 55786.0 1918-07-24
  13435.54996675102 7884.166480417364 55763.0 1918-07-25
  13433.137041600781 7884.326554726978 55792.0 1918-07-26
  13440.88917978873 7880.993532330693 55790.0 1918-07-27
  13426.224195766112 7872.3947973297545 55792.0 1918-07-28
  13432.720899218117 7875.153982222114 55791.0 1918-07-29
  13422.283462794721 7888.983942459723 55799.0 1918-07-30
  13433.650397903035 7881.475876187125 55793.0 1918-07-31
  13432.613019618993 7879.291622040797 55783.0 1918-08-01
  13429.270197041193 7873.130951207479 55792.0 1918-08-02
  13434.095168280013 7872.809410216636 55804.0 1918-08-03
  13427.7877411957 7879.611499140964 55788.0 1918-08-04
  13427.54484595273 7872.119435700161 55784.0 1918-08-05
  13426.979427949282 7877.037034407469 55786.0 1918-08-06
  13431.182868931024 7883.704886747968 55790.0 1918-08-07
  13431.117068152302 7877.889013028039 55767.0 1918-08-08
  13426.62879237162 7873.681748194892 55772.0 1918-08-09
  13434.742183448192 7881.591112477083 55789.0 1918-08-10
  13423.582935634737 7872.945139535515 55762.0 1918-08-11
  13440.201382183155 7882.16644117352 55778.0 1918-08-12
  13431.062856895413 7879.957774894762 55772.0 1918-08-13
